time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2048030_c,2048030_p,2048030_r,2048030_s,3814937_c,3814937_h,3814937_p,3814937_r,3814937_s,3816381_c,3816381_h,3816381_p,3816381_r,3816381_s
2023-05-30 14:50:00,,46.39,29.8,29.6,29.700000000000003,27.9,27.9,[27.9],,0.76,,,,29.8,4.89,28.5,26.0,,29.6,0.0,,
2023-05-30 14:55:00,,46.260000000000005,29.7,29.5,29.6,27.7,27.7,[27.7],,0.76,,,,29.7,0.95,26.0,26.0,,29.5,0.0,,
2023-05-30 15:00:00,,46.25,29.7,29.5,29.6,27.6,27.6,[27.6],,0.78,,,,29.7,4.65,27.0,26.0,,29.5,0.0,,
2023-05-30 15:05:00,,46.7,29.7,29.1,29.4,27.3,27.3,[27.3],,0.77,,,,29.7,0.8,26.0,26.0,,29.1,0.0,,
2023-05-30 15:10:00,,46.77,29.7,29.5,29.6,27.9,27.9,[27.9],,0.76,,,,29.7,4.94,27.0,26.0,,29.5,0.0,,
2023-05-30 15:15:00,,46.4,29.6,29.3,29.450000000000003,27.6,27.6,[27.6],,0.76,,,,29.6,0.58,27.0,26.0,,29.3,0.0,,
2023-05-30 15:20:00,,46.27,29.6,29.3,29.450000000000003,27.6,27.6,[27.6],,0.76,,,,29.6,4.76,27.0,26.0,,29.3,0.0,,
2023-05-30 15:25:00,,46.3,29.6,29.1,29.35,27.8,27.8,[27.8],,0.75,,,,29.6,0.58,28.0,26.0,,29.1,0.0,,
2023-05-30 15:30:00,,46.34,29.7,29.6,29.65,27.7,27.7,[27.7],,0.78,,,,29.7,4.91,26.5,26.0,,29.6,0.0,,
2023-05-30 15:35:00,,46.68,29.5,29.2,29.35,27.6,27.6,[27.6],,0.75,,,,29.5,0.58,27.5,26.0,,29.2,0.0,,
2023-05-30 15:40:00,,46.31,29.5,29.0,29.25,27.5,27.5,[27.5],,0.75,,,,29.5,4.84,26.0,26.0,,29.0,0.0,,
2023-05-30 15:45:00,,46.75,29.6,29.4,29.5,27.7,27.7,[27.7],,0.74,,,,29.6,5.05,29.0,26.0,,29.4,0.0,,
2023-05-30 15:50:00,,46.54,29.6,29.4,29.5,27.9,27.9,[27.9],,0.75,,,,29.6,4.91,26.0,26.0,,29.4,0.0,,
2023-05-30 15:55:00,,46.28,29.6,29.2,29.4,27.6,27.6,[27.6],,0.76,,,,29.6,5.03,27.5,26.0,,29.2,0.0,,
2023-05-30 16:00:00,,46.28999999999999,29.5,28.9,29.2,27.3,27.3,[27.3],,0.76,,,,29.5,4.85,26.0,26.0,,28.9,0.0,,
2023-05-30 16:05:00,,46.75,29.7,29.4,29.55,27.8,27.8,[27.8],,0.74,,,,29.7,4.92,28.0,26.0,,29.4,0.0,,
2023-05-30 16:10:00,,46.29,29.6,29.5,29.55,27.8,27.8,[27.8],,0.77,,,,29.6,0.86,26.0,26.0,,29.5,0.0,,
2023-05-30 16:15:00,,46.28,29.7,29.1,29.4,28.0,28.0,[28.0],,0.72,,,,29.7,4.77,26.5,26.0,,29.1,0.0,,
2023-05-30 16:20:00,,46.72,29.5,29.3,29.4,28.0,28.0,[28.0],,0.77,,,,29.5,0.58,27.5,26.0,,29.3,0.0,,
2023-05-30 16:25:00,,46.68000000000001,29.7,29.7,29.7,28.3,28.3,[28.3],,0.76,,,,29.7,4.88,26.5,26.0,,29.7,0.0,,
2023-05-30 16:30:00,,46.260000000000005,29.6,29.3,29.450000000000003,28.2,28.2,[28.2],,0.76,,,,29.6,0.58,27.5,26.0,,29.3,0.0,,
2023-05-30 16:35:00,,46.260000000000005,29.5,29.0,29.25,28.1,28.1,[28.1],,0.78,,,,29.5,4.85,26.0,26.0,,29.0,0.0,,
2023-05-30 16:40:00,,46.69,29.6,29.4,29.5,28.2,28.2,[28.2],,0.81,,,,29.6,0.58,29.0,26.0,,29.4,0.0,,
2023-05-30 16:45:00,,46.36,29.6,29.5,29.55,27.9,27.9,[27.9],,0.75,,,,29.6,4.8,26.0,26.0,,29.5,0.0,,
2023-05-30 16:50:00,,46.34,29.6,29.5,29.55,28.0,28.0,[28.0],,0.75,,,,29.6,4.93,27.5,26.0,,29.5,0.0,,
2023-05-30 16:55:00,,46.67999999999999,29.5,29.1,29.3,27.9,27.9,[27.9],,0.75,,,,29.5,4.84,26.0,26.0,,29.1,0.0,,
2023-05-30 17:00:00,,46.35,29.5,29.5,29.5,28.0,28.0,[28.0],,0.76,,,,29.5,4.82,27.5,26.0,,29.5,0.0,,
2023-05-30 17:05:00,,46.68,29.7,29.5,29.6,27.7,27.7,[27.7],,0.77,,,,29.7,0.78,26.5,26.0,,29.5,0.0,,
2023-05-30 17:10:00,,46.29,29.6,29.0,29.3,27.8,27.8,[27.8],,0.77,,,,29.6,4.82,26.5,26.0,,29.0,0.0,,
2023-05-30 17:15:00,,46.31,29.5,29.1,29.3,27.7,27.7,[27.7],,0.76,,,,29.5,0.58,27.5,26.0,,29.1,0.0,,
2023-05-30 17:20:00,,46.81,29.7,29.1,29.4,28.0,28.0,[28.0],,0.75,,,,29.7,4.85,27.0,26.0,,29.1,0.0,,
2023-05-30 17:25:00,,46.26,29.5,29.2,29.35,27.6,27.6,[27.6],,0.75,,,,29.5,0.58,27.5,26.0,,29.2,0.0,,
2023-05-30 17:30:00,,46.260000000000005,29.5,28.9,29.2,27.5,27.5,[27.5],,0.76,,,,29.5,4.81,26.0,26.0,,28.9,0.0,,
2023-05-30 17:35:00,,46.69,29.5,29.2,29.35,27.6,27.6,[27.6],,0.75,,,,29.5,0.58,28.5,26.0,,29.2,0.0,,
2023-05-30 17:40:00,,46.35,29.6,29.4,29.5,27.8,27.8,[27.8],,0.75,,,,29.6,4.77,26.0,26.0,,29.4,0.0,,
2023-05-30 17:45:00,,46.34,29.5,29.3,29.4,27.8,27.8,[27.8],,0.77,,,,29.5,5.12,28.5,26.0,,29.3,0.0,,
2023-05-30 17:50:00,,46.760000000000005,29.8,29.8,29.8,28.0,28.0,[28.0],,0.76,,,,29.8,4.91,27.0,26.0,,29.8,0.0,,
2023-05-30 17:55:00,,46.43000000000001,30.1,30.0,30.05,28.5,28.5,[28.5],,0.75,,,,30.0,4.69,28.0,26.0,,30.1,0.0,,
2023-05-30 18:00:00,,46.31,29.8,29.8,29.8,28.1,28.1,[28.1],,0.73,,,,29.8,0.8,26.0,26.0,,29.8,0.0,,
2023-05-30 18:05:00,,46.66,29.7,29.3,29.5,27.7,27.7,[27.7],,0.74,,,,29.7,4.77,26.5,26.0,,29.3,0.0,,
2023-05-30 18:10:00,,46.31,29.7,29.3,29.5,27.6,27.6,[27.6],,0.77,,,,29.7,0.59,27.5,26.0,,29.3,0.0,,
2023-05-30 18:15:00,,46.78,29.7,29.6,29.65,28.0,28.0,[28.0],,0.78,,,,29.7,4.88,26.5,26.0,,29.6,0.0,,
2023-05-30 18:20:00,,46.32,29.6,29.3,29.450000000000003,27.7,27.7,[27.7],,0.77,,,,29.6,0.58,28.0,26.0,,29.3,0.0,,
2023-05-30 18:25:00,,46.77,29.8,29.3,29.55,28.0,28.0,[28.0],,0.75,,,,29.8,4.9,27.0,26.0,,29.3,0.0,,
2023-05-30 18:30:00,,46.81,30.1,29.9,30.0,28.3,28.3,[28.3],,0.78,,,,29.9,4.7,28.5,26.0,,30.1,0.0,,
2023-05-30 18:35:00,,46.35,29.9,29.8,29.85,28.0,28.0,[28.0],,0.77,,,,29.9,4.77,26.0,26.0,,29.8,0.0,,
2023-05-30 18:40:00,,46.3,29.8,29.4,29.6,27.9,27.9,[27.9],,0.76,,,,29.8,4.72,27.5,26.0,,29.4,0.0,,
2023-05-30 18:45:00,,46.290000000000006,29.6,29.2,29.4,27.9,27.9,[27.9],,0.72,,,,29.6,4.82,26.0,26.0,,29.2,0.0,,
2023-05-30 18:50:00,,46.39,29.8,29.7,29.75,28.1,28.1,[28.1],,0.76,,,,29.8,4.86,27.5,26.0,,29.7,0.0,,
