time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3812492_c,3812492_h,3812492_p,3812492_r,3812492_s,3816385_h
2023-06-01 09:10:00,26.8,4.26,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.53,28.0,28.0,30.8
2023-06-01 09:15:00,26.9,4.4,31.0,31.0,31.0,29.2,29.2,[29.2],,31.0,0.53,27.0,28.0,31.0
2023-06-01 09:20:00,26.7,4.32,31.0,31.0,31.0,29.1,29.1,[29.1],,31.0,0.53,27.0,28.0,31.0
2023-06-01 09:25:00,27.0,4.35,30.8,30.8,30.8,28.9,28.9,[28.9],,30.8,0.54,27.0,28.0,30.8
2023-06-01 09:30:00,27.2,4.23,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.53,27.5,28.0,30.8
2023-06-01 09:35:00,27.5,4.29,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.53,27.0,28.0,30.9
2023-06-01 09:40:00,27.8,4.32,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.53,27.0,28.0,30.8
2023-06-01 09:45:00,28.0,4.29,30.7,30.7,30.7,28.9,28.9,[28.9],,30.7,0.53,27.0,28.0,30.7
2023-06-01 09:50:00,28.3,4.38,30.7,30.7,30.7,29.2,29.2,[29.2],,30.7,0.53,27.5,28.0,30.7
2023-06-01 09:55:00,28.5,4.45,30.7,30.7,30.7,29.2,29.2,[29.2],,30.7,0.53,27.0,28.0,30.7
2023-06-01 10:00:00,27.6,4.42,30.9,30.9,30.9,29.1,29.1,[29.1],,30.9,0.53,27.0,28.0,30.9
2023-06-01 10:05:00,26.9,4.31,30.7,30.7,30.7,29.0,29.0,[29.0],,30.7,0.53,27.0,28.0,30.7
2023-06-01 10:10:00,26.5,4.48,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.53,28.0,28.0,30.8
2023-06-01 10:15:00,26.6,4.47,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.53,27.0,28.0,30.9
2023-06-01 10:20:00,26.9,4.33,30.9,30.9,30.9,29.0,29.0,[29.0],,30.9,0.53,27.0,28.0,30.9
2023-06-01 10:25:00,27.4,4.38,30.7,30.7,30.7,29.0,29.0,[29.0],,30.7,0.53,27.5,28.0,30.7
2023-06-01 10:30:00,27.4,4.34,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.53,27.5,28.0,30.8
2023-06-01 10:35:00,27.3,4.33,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.53,27.0,28.0,30.9
2023-06-01 10:40:00,27.6,4.68,30.8,30.8,30.8,29.0,29.0,[29.0],,30.8,0.53,27.0,28.0,30.8
2023-06-01 10:45:00,27.0,4.37,30.7,30.7,30.7,29.0,29.0,[29.0],,30.7,0.53,27.5,28.0,30.7
2023-06-01 10:50:00,26.9,4.39,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.53,27.5,28.0,30.8
2023-06-01 10:55:00,26.9,4.43,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.53,27.0,28.0,30.9
2023-06-01 11:00:00,27.6,4.5,30.9,30.9,30.9,29.0,29.0,[29.0],,30.9,0.53,27.0,28.0,30.9
