time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,46061_c,46061_h,46061_r,46061_s,46068_c,46068_h,46068_r,46068_s,46071_c,46071_h,46071_r,46071_s,583987_c,583987_h,583987_r,583987_s,583988_c,583988_h,583988_r,583988_s
2023-05-30 13:35:00,,100.0,23.9,21.8,23.18,24.9,24.9,[24.9],1.0,23.9,25.0,19.0,1.0,23.2,27.0,20.0,1.0,23.9,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 13:40:00,,101.0,23.9,21.8,23.18,24.9,24.9,[24.9],1.0,23.9,26.0,19.0,1.0,23.2,27.0,20.0,1.0,23.9,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 13:45:00,,101.0,23.7,21.9,23.1,24.9,24.9,[24.9],1.0,23.7,25.0,19.0,1.0,23.2,27.0,20.0,1.0,23.7,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.9,27.0,20.0
2023-05-30 13:50:00,,101.0,23.7,21.7,23.08,24.8,24.8,[24.8],1.0,23.7,25.0,19.0,1.0,23.2,27.0,20.0,1.0,23.7,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.7,27.0,20.0
2023-05-30 13:55:00,,100.0,23.6,21.7,22.94,24.8,24.8,[24.8],1.0,23.6,26.0,19.0,1.0,23.2,27.0,20.0,1.0,23.2,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 14:00:00,,100.0,23.9,21.7,23.000000000000004,24.8,24.8,[24.8],1.0,23.9,26.0,19.0,1.0,23.1,27.0,20.0,1.0,23.2,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 14:05:00,,100.0,23.9,21.7,23.04,24.7,24.7,[24.7],1.0,23.9,25.0,19.0,1.0,23.2,27.0,20.0,1.0,23.3,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 14:10:00,,100.0,23.7,21.9,22.98,24.7,24.7,[24.7],1.0,23.7,25.0,19.0,1.0,23.0,26.0,20.0,1.0,23.3,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.9,26.0,20.0
2023-05-30 14:15:00,,100.0,23.7,21.9,23.1,24.8,24.8,[24.8],1.0,23.7,26.0,19.0,1.0,23.1,27.0,20.0,1.0,23.7,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.9,27.0,20.0
2023-05-30 14:20:00,,101.0,23.7,21.8,23.08,24.8,24.8,[24.8],1.0,23.7,26.0,19.0,1.0,23.1,27.0,20.0,1.0,23.7,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.8,26.0,20.0
2023-05-30 14:25:00,,100.0,23.5,21.8,22.92,24.9,24.9,[24.9],1.0,23.5,25.0,19.0,1.0,23.1,27.0,20.0,1.0,23.2,26.0,21.0,1.0,23.0,26.0,21.0,1.0,21.8,27.0,20.0
