time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,43294_c,43294_p,43294_r,43294_s,43295_c,43295_h,43295_p,43295_r,43295_s
2023-05-30 16:05:00,,26.0,31.0,31.0,31.0,25.7,25.7,[25.7],1.0,5.0,25.2,27.0,1.0,31.0,2.82,25.5,27.0
2023-05-30 16:10:00,,26.0,30.6,30.6,30.6,26.2,26.2,[26.2],1.0,5.0,26.5,27.0,1.0,30.6,26.46,26.7,27.0
2023-05-30 16:15:00,,26.0,31.3,31.3,31.3,26.3,26.3,[26.3],1.0,5.0,25.9,27.0,1.0,31.3,26.76,26.1,27.0
2023-05-30 16:20:00,,26.0,31.3,31.3,31.3,26.3,26.3,[26.3],1.0,5.0,25.6,27.0,1.0,31.3,26.82,25.8,27.0
2023-05-30 16:25:00,,26.0,31.3,31.3,31.3,26.4,26.4,[26.4],1.0,3.98,27.1,27.0,1.0,31.3,2.82,27.0,27.0
2023-05-30 16:30:00,,26.0,31.5,31.5,31.5,25.7,25.7,[25.7],1.0,5.0,25.0,27.0,1.0,31.5,27.06,24.8,27.0
2023-05-30 16:35:00,,26.0,30.7,30.7,30.7,25.8,25.8,[25.8],1.0,5.0,25.6,27.0,1.0,30.7,2.88,25.6,27.0
2023-05-30 16:40:00,,26.0,30.7,30.7,30.7,26.1,26.1,[26.1],1.0,46.83,26.0,27.0,1.0,30.7,26.58,25.3,27.0
2023-05-30 16:45:00,,26.0,31.1,31.1,31.1,25.6,25.6,[25.6],1.0,5.0,25.1,27.0,1.0,31.1,26.88,24.7,27.0
2023-05-30 16:50:00,,26.0,30.7,30.7,30.7,25.9,25.9,[25.9],1.0,5.0,25.9,27.0,1.0,30.7,2.82,26.0,27.0
2023-05-30 16:55:00,,26.0,30.7,30.7,30.7,26.2,26.2,[26.2],1.0,5.0,26.0,27.0,1.0,30.7,26.94,26.3,27.0
2023-05-30 17:00:00,,26.0,31.1,31.1,31.1,26.2,26.2,[26.2],1.0,5.0,25.5,27.0,1.0,31.1,26.94,25.9,27.0
2023-05-30 17:05:00,,26.0,31.3,31.3,31.3,26.3,26.3,[26.3],1.0,5.0,26.8,27.0,1.0,31.3,2.82,26.9,27.0
2023-05-30 17:10:00,,26.0,31.3,31.3,31.3,25.7,25.7,[25.7],1.0,5.0,24.9,27.0,1.0,31.3,26.88,24.2,27.0
2023-05-30 17:15:00,,26.0,30.8,30.8,30.8,25.7,25.7,[25.7],1.0,5.0,25.7,27.0,1.0,30.8,2.82,25.6,27.0
2023-05-30 17:20:00,,26.0,31.1,31.1,31.1,26.1,26.1,[26.1],1.0,5.0,26.6,27.0,1.0,31.1,26.46,26.3,27.0
2023-05-30 17:25:00,,26.0,31.1,31.1,31.1,26.2,26.2,[26.2],1.0,5.0,25.5,27.0,1.0,31.1,26.58,26.0,27.0
2023-05-30 17:30:00,,26.0,31.3,31.3,31.3,26.3,26.3,[26.3],1.0,3.99,26.8,27.0,1.0,31.3,2.82,26.7,27.0
2023-05-30 17:35:00,,26.0,31.3,31.3,31.3,25.8,25.8,[25.8],1.0,5.0,24.9,27.0,1.0,31.3,26.94,24.0,27.0
2023-05-30 17:40:00,,26.0,30.7,30.7,30.7,25.7,25.7,[25.7],1.0,3.98,25.2,27.0,1.0,30.7,2.82,25.4,27.0
2023-05-30 17:45:00,,26.0,30.7,30.7,30.7,26.1,26.1,[26.1],1.0,3.98,26.1,27.0,1.0,30.7,27.0,26.4,27.0
2023-05-30 17:50:00,,26.0,31.0,31.0,31.0,26.2,26.2,[26.2],1.0,3.98,25.6,27.0,1.0,31.0,27.0,26.0,27.0
2023-05-30 17:55:00,,26.0,31.2,31.2,31.2,26.2,26.2,[26.2],1.0,3.98,25.4,27.0,1.0,31.2,26.52,25.8,27.0
2023-05-30 18:00:00,,26.0,31.2,31.2,31.2,26.2,26.2,[26.2],1.0,45.8,26.3,27.0,1.0,31.2,26.28,25.8,27.0
2023-05-30 18:05:00,,26.0,31.4,31.4,31.4,25.5,25.5,[25.5],1.0,5.0,24.9,27.0,1.0,31.4,26.58,24.5,27.0
2023-05-30 18:10:00,,26.0,30.5,30.5,30.5,25.8,25.8,[25.8],1.0,3.98,25.9,27.0,1.0,30.5,2.52,25.9,27.0
2023-05-30 18:15:00,,26.0,30.6,30.6,30.6,26.1,26.1,[26.1],1.0,3.98,25.8,27.0,1.0,30.6,26.4,26.2,27.0
2023-05-30 18:20:00,,26.0,31.0,31.0,31.0,26.2,26.2,[26.2],1.0,3.98,25.4,27.0,1.0,31.0,26.46,25.9,27.0
2023-05-30 18:25:00,,26.0,31.3,31.3,31.3,26.3,26.3,[26.3],1.0,3.98,26.8,27.0,1.0,31.3,2.52,26.9,27.0
2023-05-30 18:30:00,,26.0,31.3,31.3,31.3,25.7,25.7,[25.7],1.0,5.0,24.9,27.0,1.0,31.3,26.4,24.1,27.0
2023-05-30 18:35:00,,26.0,30.8,30.8,30.8,25.7,25.7,[25.7],1.0,3.98,25.1,27.0,1.0,30.8,26.46,25.4,27.0
2023-05-30 18:40:00,,26.0,30.6,30.6,30.6,26.1,26.1,[26.1],1.0,3.98,26.2,27.0,1.0,30.6,25.74,26.4,27.0
2023-05-30 18:45:00,,26.0,31.0,31.0,31.0,26.2,26.2,[26.2],1.0,3.98,25.6,27.0,1.0,31.0,26.4,26.0,27.0
2023-05-30 18:50:00,,26.0,31.2,31.2,31.2,26.2,26.2,[26.2],1.0,3.98,25.4,27.0,1.0,31.2,2.88,25.9,27.0
2023-05-30 18:55:00,,26.0,31.1,31.1,31.1,26.4,26.4,[26.4],1.0,3.98,26.2,27.0,1.0,31.1,26.64,26.5,27.0
2023-05-30 19:00:00,,26.0,31.5,31.5,31.5,26.4,26.4,[26.4],1.0,3.98,25.6,27.0,1.0,31.5,26.76,26.1,27.0
2023-05-30 19:05:00,,26.0,31.4,31.4,31.4,26.3,26.3,[26.3],1.0,3.98,25.5,27.0,1.0,31.4,2.88,25.9,27.0
2023-05-30 19:10:00,,26.0,31.5,31.5,31.5,26.3,26.3,[26.3],1.0,47.81,26.0,27.0,1.0,31.5,26.28,25.5,27.0
2023-05-30 19:15:00,,26.0,31.5,31.5,31.5,25.6,25.6,[25.6],1.0,3.98,25.2,27.0,1.0,31.5,26.28,25.0,27.0
2023-05-30 19:20:00,,26.0,30.6,30.6,30.6,26.0,26.0,[26.0],1.0,3.98,26.6,27.0,1.0,30.6,27.6,26.6,27.0
2023-05-30 19:25:00,,26.0,30.9,30.9,30.9,26.2,26.2,[26.2],1.0,3.98,25.8,27.0,1.0,30.9,26.46,26.2,27.0
2023-05-30 19:30:00,,26.0,31.2,31.2,31.2,26.2,26.2,[26.2],1.0,3.98,25.5,27.0,1.0,31.2,26.4,26.0,27.0
