time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2059922_c,2059922_h,2059922_r,2059922_s,2059923_c,2059923_h,2059923_r,2059923_s,2059924_c,2059924_h,2059924_r,2059924_s,2059925_c,2059925_h,2059925_r,2059925_s
2023-05-30 16:50:00,,25.9,18.6,23.0,21.7,25.4,"[25.4, 15.0, 24.7]",1.0,21.7,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.6,18.7,,1.0,25.8,23.1,25.0
2023-05-30 16:55:00,,26.1,18.7,23.1,21.866666666666664,25.6,"[25.6, 15.0, 25.0]",1.0,21.7,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.7,18.7,,1.0,26.1,23.1,25.0
2023-05-30 17:00:00,,26.3,18.7,23.2,22.066666666666663,25.7,"[25.7, 15.2, 25.3]",1.0,21.8,24.8,25.0,1.0,26.0,27.2,25.0,1.0,18.7,18.7,,1.0,26.3,23.1,25.0
2023-05-30 17:05:00,,26.4,18.7,23.275,22.166666666666668,25.7,"[25.7, 15.3, 25.5]",1.0,21.9,24.8,25.0,1.0,26.1,27.2,25.0,1.0,18.7,18.7,,1.0,26.4,23.1,25.0
2023-05-30 17:10:00,,26.4,19.0,23.35,21.633333333333336,25.8,"[25.8, 14.9, 24.2]",1.0,21.9,24.8,25.0,1.0,26.1,27.2,25.0,1.0,19.0,18.7,,1.0,26.4,23.1,25.0
2023-05-30 17:15:00,,26.1,18.7,23.125,21.23333333333333,25.7,"[25.7, 14.6, 23.4]",1.0,21.8,24.8,25.0,1.0,26.1,27.2,25.0,1.0,18.7,18.7,,1.0,25.9,23.1,25.0
2023-05-30 17:20:00,,25.9,18.5,22.925,21.6,25.6,"[25.6, 14.8, 24.4]",1.0,21.7,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.5,18.7,,1.0,25.6,23.1,25.0
2023-05-30 17:25:00,,25.9,18.5,23.0,21.766666666666666,25.6,"[25.6, 15.0, 24.7]",1.0,21.7,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.5,18.7,,1.0,25.9,23.1,25.0
2023-05-30 17:30:00,,26.0,18.8,23.125,21.9,25.6,"[25.6, 15.0, 25.1]",1.0,21.7,24.8,25.0,1.0,26.0,27.2,25.0,1.0,18.8,18.7,,1.0,26.0,23.1,25.0
2023-05-30 17:35:00,,26.3,18.7,23.2,22.03333333333333,25.6,"[25.6, 15.1, 25.4]",1.0,21.8,24.8,25.0,1.0,26.0,27.2,25.0,1.0,18.7,18.7,,1.0,26.3,23.1,25.0
2023-05-30 17:40:00,,26.5,18.7,23.3,22.1,25.7,"[25.7, 15.1, 25.5]",1.0,21.9,24.8,25.0,1.0,26.1,27.2,25.0,1.0,18.7,18.7,,1.0,26.5,23.1,25.0
2023-05-30 17:45:00,,26.5,18.8,23.375,21.666666666666668,25.7,"[25.7, 15.0, 24.3]",1.0,22.0,24.8,25.0,1.0,26.2,27.2,25.0,1.0,18.8,18.7,,1.0,26.5,23.1,25.0
2023-05-30 17:50:00,,25.9,18.6,22.950000000000003,21.33333333333333,25.7,"[25.7, 14.7, 23.6]",1.0,21.8,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.6,18.7,,1.0,25.5,23.1,25.0
2023-05-30 17:55:00,,25.9,18.7,23.025,21.566666666666663,25.6,"[25.6, 14.8, 24.3]",1.0,21.8,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.7,18.7,,1.0,25.7,23.1,25.0
2023-05-30 18:00:00,,25.9,18.7,23.0,21.8,25.6,"[25.6, 15.0, 24.8]",1.0,21.7,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.7,18.7,,1.0,25.7,23.1,25.0
2023-05-30 18:05:00,,26.1,18.8,23.15,21.933333333333337,25.6,"[25.6, 15.1, 25.1]",1.0,21.8,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.8,18.7,,1.0,26.1,23.1,25.0
2023-05-30 18:10:00,,26.3,18.8,23.275,22.133333333333336,25.8,"[25.8, 15.2, 25.4]",1.0,21.9,24.8,25.0,1.0,26.1,27.2,25.0,1.0,18.8,18.7,,1.0,26.3,23.1,25.0
2023-05-30 18:15:00,,26.6,19.0,23.450000000000003,22.2,25.8,"[25.8, 15.2, 25.6]",1.0,22.0,24.8,25.0,1.0,26.2,27.2,25.0,1.0,19.0,18.7,,1.0,26.6,23.1,25.0
2023-05-30 18:20:00,,26.6,18.9,23.425,21.600000000000005,25.8,"[25.8, 14.9, 24.1]",1.0,22.0,24.8,25.0,1.0,26.2,27.2,25.0,1.0,18.9,18.7,,1.0,26.6,23.1,25.0
2023-05-30 18:25:00,,26.2,19.0,23.325,21.366666666666664,25.7,"[25.7, 14.6, 23.8]",1.0,22.1,24.8,25.0,1.0,26.2,27.2,25.0,1.0,19.0,18.7,,1.0,26.0,23.1,25.0
2023-05-30 18:30:00,,25.9,18.8,23.05,21.6,25.6,"[25.6, 14.8, 24.4]",1.0,21.9,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.8,18.7,,1.0,25.6,23.1,25.0
2023-05-30 18:35:00,,25.9,19.0,23.15,21.766666666666666,25.7,"[25.7, 14.8, 24.8]",1.0,21.8,24.8,25.0,1.0,25.9,27.2,25.0,1.0,19.0,18.7,,1.0,25.9,23.1,25.0
2023-05-30 18:40:00,,26.1,19.0,23.225,22.0,25.7,"[25.7, 15.1, 25.2]",1.0,21.8,24.8,25.0,1.0,26.0,27.2,25.0,1.0,19.0,18.7,,1.0,26.1,23.1,25.0
