time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3818463_c,3818463_r,3818463_s,3818464_c,3818464_h,3818464_r,3818464_s,3818465_c,3818465_h,3818465_r,3818465_s,3818466_c,3818466_h,3818466_r,3818466_s,3818467_c,3818467_h,3818467_r,3818467_s,3818468_c,3818468_r,3818468_s,3818469_c,3818469_r,3818469_s,3818470_c,3818470_h,3818470_r,3818470_s
2023-06-05 23:00:00,23.0,35.6,32.0,24.9,27.8,24.3,24.3,[24.3],1.0,26.0,25.0,1.0,24.9,27.0,25.0,1.0,24.9,27.0,25.0,1.0,32.0,27.0,25.0,1.0,25.2,25.7,25.0,1.0,26.0,24.0,1.0,25.7,24.0,1.0,32.0,25.0,25.0
2023-06-05 23:05:00,22.8,35.6,32.1,25.1,28.06,24.5,24.5,[24.5],1.0,26.0,25.0,1.0,25.1,27.0,25.0,1.0,25.1,27.0,25.0,1.0,32.1,27.0,25.0,1.0,25.9,26.0,25.0,1.0,26.0,24.0,1.0,26.1,24.0,1.0,32.1,26.0,25.0
2023-06-05 23:10:00,23.0,35.58,32.1,25.1,28.06,24.0,24.0,[24.0],1.0,26.0,25.0,1.0,25.1,27.0,25.0,1.0,25.1,26.0,25.0,1.0,32.1,27.0,25.0,1.0,25.9,24.8,25.0,1.0,25.3,24.0,1.0,25.6,24.0,1.0,32.1,25.0,25.0
2023-06-05 23:15:00,23.1,35.58,32.2,25.1,27.96,23.7,23.7,[23.7],1.0,25.0,25.0,1.0,25.1,27.0,25.0,1.0,25.1,26.0,25.0,1.0,32.2,27.0,25.0,1.0,25.2,24.8,25.0,1.0,25.0,24.0,1.0,25.3,24.0,1.0,32.2,25.0,25.0
2023-06-05 23:20:00,23.1,35.59,32.0,24.9,27.84,24.2,24.2,[24.2],1.0,26.0,25.0,1.0,24.9,27.0,25.0,1.0,24.9,27.0,25.0,1.0,32.0,27.0,25.0,1.0,25.4,25.7,25.0,1.0,25.9,24.0,1.0,25.8,24.0,1.0,32.0,26.0,25.0
2023-06-05 23:25:00,23.0,35.6,32.0,25.1,28.0,24.5,24.5,[24.5],1.0,26.0,25.0,1.0,25.1,27.0,25.0,1.0,25.1,27.0,25.0,1.0,32.0,27.0,25.0,1.0,25.8,26.0,25.0,1.0,26.2,24.0,1.0,26.0,24.0,1.0,32.0,26.0,25.0
2023-06-05 23:30:00,23.0,35.58,32.1,25.1,28.0,23.9,23.9,[23.9],1.0,26.0,25.0,1.0,25.1,27.0,25.0,1.0,25.1,26.0,25.0,1.0,32.1,27.0,25.0,1.0,25.6,25.2,25.0,1.0,25.4,24.0,1.0,25.7,24.0,1.0,32.1,25.0,25.0
2023-06-05 23:35:00,23.1,35.57,32.1,25.1,28.0,23.7,23.7,[23.7],1.0,25.0,25.0,1.0,25.1,27.0,25.0,1.0,25.1,26.0,25.0,1.0,32.1,26.0,25.0,1.0,25.6,24.8,25.0,1.0,24.7,24.0,1.0,25.3,24.0,1.0,32.1,25.0,25.0
2023-06-05 23:40:00,23.2,35.58,32.0,24.9,27.82,24.1,24.1,[24.1],1.0,26.0,25.0,1.0,24.9,27.0,25.0,1.0,24.9,26.0,25.0,1.0,32.0,27.0,25.0,1.0,25.3,25.4,25.0,1.0,25.6,24.0,1.0,25.5,24.0,1.0,32.0,25.0,25.0
2023-06-05 23:45:00,23.1,35.59,32.0,25.0,27.860000000000003,24.4,24.4,[24.4],1.0,26.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,27.0,25.0,1.0,32.0,27.0,25.0,1.0,25.3,25.7,25.0,1.0,26.1,24.0,1.0,25.8,24.0,1.0,32.0,26.0,25.0
2023-06-05 23:50:00,23.2,35.58,32.2,25.1,28.06,24.3,24.3,[24.3],1.0,26.0,25.0,1.0,25.1,27.0,25.0,1.0,25.1,26.0,25.0,1.0,32.2,27.0,25.0,1.0,25.7,25.2,25.0,1.0,25.5,24.0,1.0,25.6,24.0,1.0,32.2,25.0,25.0
2023-06-05 23:55:00,23.2,35.57,32.2,25.1,28.1,23.8,23.8,[23.8],1.0,25.0,25.0,1.0,25.1,27.0,25.0,1.0,25.1,26.0,25.0,1.0,32.2,27.0,25.0,1.0,25.9,24.8,25.0,1.0,25.1,24.0,1.0,25.4,24.0,1.0,32.2,25.0,25.0
