time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2048082_h,3811493_h,3816387_c,3816387_h,3816387_p,3816387_r,3816387_s,3839078_h
2023-05-30 16:30:00,,103.3,29.3,27.4,28.35,28.9,28.9,[28.9],27.4,29.3,,29.3,0.56,28.5,26.0,27.4
2023-05-30 16:35:00,,98.65,29.2,26.1,27.85,28.9,28.9,[28.9],26.1,29.2,,29.2,4.38,26.5,26.0,26.9
2023-05-30 16:40:00,,107.15,29.2,27.9,28.55,29.2,29.2,[29.2],27.9,29.2,,29.2,4.83,29.0,26.0,27.9
2023-05-30 16:45:00,,107.54,29.2,27.9,28.55,28.8,28.8,[28.8],27.9,29.2,,29.2,4.34,26.5,26.0,27.9
2023-05-30 16:50:00,,107.36,29.2,25.8,27.825000000000003,29.1,29.1,[29.1],25.8,29.2,,29.2,4.2,28.0,26.0,27.1
2023-05-30 16:55:00,,98.19,29.4,27.4,28.4,28.6,28.6,[28.6],27.4,29.4,,29.4,0.97,26.5,26.0,27.4
2023-05-30 17:00:00,,106.71,29.6,25.7,28.05,28.6,28.6,[28.6],25.7,29.6,,29.6,4.29,28.0,26.0,27.3
2023-05-30 17:05:00,,104.86,28.9,26.3,27.85,28.5,28.5,[28.5],26.3,28.9,,28.9,0.57,27.5,26.0,27.3
2023-05-30 17:10:00,,107.13,29.0,26.3,27.85,28.4,28.4,[28.4],26.3,29.0,,29.0,4.39,27.5,26.0,27.1
2023-05-30 17:15:00,,95.16,29.0,27.1,28.05,28.8,28.8,[28.8],27.1,29.0,,29.0,0.57,28.5,26.0,27.1
2023-05-30 17:20:00,,106.62,28.8,25.4,27.45,28.3,28.3,[28.3],25.4,28.8,,28.8,4.31,27.0,26.0,26.8
2023-05-30 17:25:00,,106.33,29.7,28.2,28.95,28.6,28.6,[28.6],28.2,29.7,,29.7,0.56,29.5,26.0,28.2
2023-05-30 17:30:00,,107.29,29.2,25.8,27.875,28.7,28.7,[28.7],25.8,29.2,,29.2,4.32,27.0,26.0,27.3
2023-05-30 17:35:00,,99.87,29.2,25.8,27.875,29.0,29.0,[29.0],25.8,29.2,,29.2,4.42,28.5,26.0,27.3
2023-05-30 17:40:00,,99.21,28.9,25.0,27.375,28.2,28.2,[28.2],25.0,28.9,,28.9,4.41,27.0,26.0,26.7
2023-05-30 17:45:00,,107.63,29.8,27.1,28.450000000000003,28.7,28.7,[28.7],27.1,29.8,,29.8,4.22,28.5,26.0,27.1
2023-05-30 17:50:00,,103.58,29.1,25.8,27.675,28.5,28.5,[28.5],25.8,29.1,,29.1,0.61,27.0,26.0,26.7
2023-05-30 17:55:00,,97.95,29.5,26.6,28.075,29.1,29.1,[29.1],26.6,29.5,,29.5,4.22,27.0,26.0,26.7
2023-05-30 18:00:00,,102.15,28.9,26.8,27.85,28.6,28.6,[28.6],26.8,28.9,,28.9,0.55,28.0,26.0,26.8
2023-05-30 18:05:00,,108.03,29.0,25.7,27.625,28.4,28.4,[28.4],25.7,29.0,,29.0,4.22,27.0,26.0,26.8
2023-05-30 18:10:00,,103.14,29.0,25.7,27.675,28.6,28.6,[28.6],25.7,29.0,,29.0,0.56,29.0,26.0,27.0
2023-05-30 18:15:00,,98.65,29.1,25.5,27.675,28.3,28.3,[28.3],25.5,29.1,,29.1,4.26,27.0,26.0,27.0
2023-05-30 18:20:00,,105.7,29.1,28.1,28.6,28.7,28.7,[28.7],28.1,29.1,,29.1,4.65,29.5,26.0,28.1
2023-05-30 18:25:00,,107.06,29.5,25.9,27.950000000000003,28.7,28.7,[28.7],25.9,29.5,,29.5,4.28,27.0,26.0,26.9
2023-05-30 18:30:00,,106.81,29.4,27.1,28.3,28.8,28.8,[28.8],27.1,29.4,,29.4,4.1,28.0,26.0,27.3
2023-05-30 18:35:00,,94.84,29.0,25.5,27.5,28.6,28.6,[28.6],25.5,29.0,,29.0,0.66,26.5,26.0,26.5
2023-05-30 18:40:00,,105.48,29.2,26.2,27.9,28.8,28.8,[28.8],26.2,29.2,,29.2,4.23,27.5,26.0,27.0
2023-05-30 18:45:00,,102.36,29.1,26.2,27.725,28.5,28.5,[28.5],26.2,29.1,,29.1,0.57,28.0,26.0,26.5
2023-05-30 18:50:00,,108.0,29.6,25.9,27.9,28.8,28.8,[28.8],25.9,29.6,,29.6,4.49,27.5,26.0,26.5
2023-05-30 18:55:00,,102.22,28.9,27.1,28.0,28.5,28.5,[28.5],27.1,28.9,,28.9,0.56,28.5,26.0,27.1
2023-05-30 19:00:00,,107.28,28.9,25.7,27.525,28.7,28.7,[28.7],25.7,28.9,,28.9,4.4,26.5,26.0,26.6
2023-05-30 19:05:00,,106.97,29.5,27.6,28.55,28.9,28.9,[28.9],27.6,29.5,,29.5,3.39,29.5,26.0,27.6
2023-05-30 19:10:00,,98.57,28.4,25.1,27.125,28.3,28.3,[28.3],25.1,28.4,,28.4,4.49,27.0,26.0,26.6
2023-05-30 19:15:00,,105.42,29.6,27.5,28.55,29.0,29.0,[29.0],27.5,29.6,,29.6,4.21,29.0,26.0,27.5
2023-05-30 19:20:00,,102.39,29.1,25.7,27.6,28.7,28.7,[28.7],25.7,29.1,,29.1,0.56,27.0,26.0,26.5
2023-05-30 19:25:00,,107.24,29.5,26.6,28.125,29.1,29.1,[29.1],26.6,29.5,,29.5,4.44,27.5,26.0,26.9
2023-05-30 19:30:00,,96.54,28.7,25.4,27.25,28.6,28.6,[28.6],25.4,28.7,,28.7,0.62,27.0,26.0,26.2
2023-05-30 19:35:00,,106.59,29.3,26.3,27.8,28.8,28.8,[28.8],26.3,29.3,,29.3,4.27,27.5,26.0,26.3
2023-05-30 19:40:00,,98.71,29.3,26.3,27.925,28.7,28.7,[28.7],26.3,29.3,,29.3,0.57,28.0,26.0,26.8
2023-05-30 19:45:00,,97.94,28.8,26.1,27.625,28.8,28.8,[28.8],26.1,28.8,,28.8,4.22,27.0,26.0,26.8
2023-05-30 19:50:00,,102.11,29.1,27.0,28.05,28.9,28.9,[28.9],27.0,29.1,,29.1,0.57,28.5,26.0,27.0
2023-05-30 19:55:00,,102.39,28.8,25.5,27.35,28.7,28.7,[28.7],25.5,28.8,,28.8,4.23,26.5,26.0,26.3
2023-05-30 20:00:00,,99.23,29.6,27.6,28.6,28.8,28.8,[28.8],27.6,29.6,,29.6,4.93,29.0,26.0,27.6
2023-05-30 20:05:00,,,29.6,25.3,27.875,28.4,28.4,[28.4],25.3,29.6,,29.6,4.2,26.5,26.0,27.0
2023-05-30 20:10:00,,106.72,29.7,27.0,28.35,28.8,28.8,[28.8],27.0,29.7,,29.7,4.13,28.5,26.0,27.0
2023-05-30 20:15:00,,102.83,29.0,25.3,27.4,28.2,28.2,[28.2],25.3,29.0,,29.0,0.65,26.5,26.0,26.3
2023-05-30 20:20:00,,105.35,28.9,26.0,27.625,28.1,28.1,[28.1],26.0,28.9,,28.9,4.2,27.0,26.0,26.7
2023-05-30 20:25:00,,101.78,29.4,26.0,27.825,28.6,28.6,[28.6],26.0,29.4,,29.4,0.57,28.0,26.0,26.5
2023-05-30 20:30:00,,98.37,29.2,25.8,27.725,28.7,28.7,[28.7],25.8,29.2,,29.2,4.24,27.0,26.0,26.7
2023-05-30 20:35:00,,97.11,29.3,26.6,27.950000000000003,28.6,28.6,[28.6],26.6,29.3,,29.3,0.56,28.5,26.0,26.6
2023-05-30 20:40:00,,106.6,29.0,25.7,27.55,28.5,28.5,[28.5],25.7,29.0,,29.0,4.57,27.0,26.0,26.5
2023-05-30 20:45:00,,93.14,29.0,27.2,28.1,28.9,28.9,[28.9],27.2,29.0,,29.0,3.89,29.0,26.0,27.2
2023-05-30 20:50:00,,105.34,28.9,25.2,27.375,28.3,28.3,[28.3],25.2,28.9,,28.9,4.48,26.5,26.0,26.5
2023-05-30 20:55:00,,106.19,29.7,26.9,28.3,28.6,28.6,[28.6],26.9,29.7,,29.7,4.23,28.5,26.0,26.9
2023-05-30 21:00:00,,102.51,29.2,25.2,27.5,28.2,28.2,[28.2],25.2,29.2,,29.2,0.98,26.5,26.0,26.4
2023-05-30 21:05:00,,105.12,28.9,26.0,27.6,28.6,28.6,[28.6],26.0,28.9,,28.9,4.57,27.5,26.0,26.6
2023-05-30 21:10:00,,101.81,28.9,25.6,27.5,28.3,28.3,[28.3],25.6,28.9,,28.9,0.63,27.5,26.0,26.6
2023-05-30 21:15:00,,97.96,28.8,25.6,27.450000000000003,28.5,28.5,[28.5],25.6,28.8,,28.8,4.46,27.0,26.0,26.6
2023-05-30 21:20:00,,96.87,29.0,26.0,27.65,28.3,28.3,[28.3],26.0,29.0,,29.0,0.58,28.0,26.0,26.6
2023-05-30 21:25:00,,106.22,29.0,25.4,27.450000000000003,28.3,28.3,[28.3],25.4,29.0,,29.0,4.43,27.0,26.0,26.4
2023-05-30 21:30:00,,101.06,29.4,27.1,28.25,28.2,28.2,[28.2],27.1,29.4,,29.4,0.57,28.5,26.0,27.1
2023-05-30 21:35:00,,105.22,29.0,27.1,28.05,28.2,28.2,[28.2],27.1,29.0,,29.0,4.28,26.5,26.0,27.1
2023-05-30 21:40:00,,98.31,29.7,27.1,28.4,28.4,28.4,[28.4],27.1,29.7,,29.7,4.39,28.5,26.0,27.1
2023-05-30 21:45:00,,104.76,28.9,25.0,27.225,28.1,28.1,[28.1],25.0,28.9,,28.9,4.15,26.5,26.0,26.1
2023-05-30 21:50:00,,104.93,29.7,26.6,28.175,28.6,28.6,[28.6],26.6,29.7,,29.7,4.09,28.0,26.0,26.7
