time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1358333_c,1358333_h,1358333_r,1358333_s,1358334_c,1358334_h,1358334_r,1358334_s,1358338_c,1358338_h,1358338_r,1358338_s,1358341_c,1358341_h,1358341_r,1358341_s,1358342_c,1358342_h,1358342_r,1358342_s,3826022_c,3826022_h,3826022_r,3826022_s,3826023_c,3826023_h,3826023_r,3826023_s,3826024_c,3826024_h,3826024_r,3826024_s
2023-05-30 16:50:00,,45260.66,26.2,25.4,25.7,26.7,26.7,[26.7],1.0,25.5,27.0,25.0,1.0,,26.8,25.0,1.0,,26.8,26.0,1.0,,26.4,26.0,1.0,,27.3,25.0,1.0,26.2,27.5,25.0,1.0,,26.7,25.0,1.0,25.4,27.4,25.0
2023-05-30 16:55:00,,45136.58,26.2,24.7,25.433333333333334,26.7,26.7,[26.7],1.0,24.7,25.9,25.0,1.0,,26.6,25.0,1.0,,26.8,26.0,1.0,,26.4,26.0,1.0,,26.6,25.0,1.0,26.2,26.9,25.0,1.0,,26.2,25.0,1.0,25.4,27.0,25.0
2023-05-30 17:00:00,,45157.0,26.5,25.0,25.633333333333336,27.0,27.0,[27.0],1.0,25.0,26.0,25.0,1.0,,26.5,25.0,1.0,,27.1,26.0,1.0,,26.4,26.0,1.0,,27.3,25.0,1.0,26.5,27.9,25.0,1.0,,27.0,25.0,1.0,25.4,27.3,25.0
2023-05-30 17:05:00,,45240.77,26.1,25.6,25.76666666666667,27.1,27.1,[27.1],1.0,25.6,27.1,25.0,1.0,,26.8,25.0,1.0,,26.6,26.0,1.0,,26.5,26.0,1.0,,26.5,25.0,1.0,26.1,27.1,25.0,1.0,,26.4,25.0,1.0,25.6,27.1,25.0
2023-05-30 17:10:00,,45194.57,26.1,25.1,25.566666666666663,26.9,26.9,[26.9],1.0,25.1,26.5,25.0,1.0,,26.7,25.0,1.0,,27.4,26.0,1.0,,26.6,26.0,1.0,,27.0,25.0,1.0,26.1,27.6,25.0,1.0,,26.8,25.0,1.0,25.5,27.8,25.0
2023-05-30 17:15:00,,45211.8,26.7,24.6,25.566666666666663,27.2,27.2,[27.2],1.0,24.6,25.8,25.0,1.0,,26.5,25.0,1.0,,26.5,26.0,1.0,,26.2,26.0,1.0,,27.3,25.0,1.0,26.7,27.7,25.0,1.0,,26.8,25.0,1.0,25.4,27.0,25.0
2023-05-30 17:20:00,,45139.92,25.9,25.3,25.600000000000005,27.0,27.0,[27.0],1.0,25.3,26.4,25.0,1.0,,27.0,25.0,1.0,,27.2,26.0,1.0,,26.7,26.0,1.0,,26.6,25.0,1.0,25.9,27.0,25.0,1.0,,26.3,25.0,1.0,25.6,27.4,25.0
2023-05-30 17:25:00,,45201.75,26.3,25.3,25.73333333333333,27.1,27.1,[27.1],1.0,25.3,26.6,25.0,1.0,,26.7,25.0,1.0,,26.4,26.0,1.0,,26.3,26.0,1.0,,27.0,25.0,1.0,26.3,27.8,25.0,1.0,,26.7,25.0,1.0,25.6,27.0,25.0
2023-05-30 17:30:00,,45217.02,26.3,24.5,25.399999999999995,27.4,27.4,[27.4],1.0,24.5,25.7,25.0,1.0,,26.5,25.0,1.0,,26.9,26.0,1.0,,26.5,26.0,1.0,,27.4,25.0,1.0,26.3,29.9,25.0,1.0,,27.3,25.0,1.0,25.4,27.1,25.0
2023-05-30 17:35:00,,45180.12,26.2,25.4,25.766666666666666,27.3,27.3,[27.3],1.0,25.4,26.7,25.0,1.0,,26.7,25.0,1.0,,26.5,26.0,1.0,,26.8,26.0,1.0,,26.2,25.0,1.0,26.2,27.2,25.0,1.0,,26.4,25.0,1.0,25.7,28.6,25.0
2023-05-30 17:40:00,,45174.23,26.1,25.5,25.73333333333333,27.2,27.2,[27.2],1.0,25.5,27.0,25.0,1.0,,26.9,25.0,1.0,,26.8,26.0,1.0,,26.7,26.0,1.0,,26.6,25.0,1.0,26.1,27.0,25.0,1.0,,26.3,25.0,1.0,25.6,27.3,25.0
2023-05-30 17:45:00,,45175.04,26.1,24.6,25.4,27.2,27.2,[27.2],1.0,24.6,25.7,25.0,1.0,,26.6,25.0,1.0,,26.7,26.0,1.0,,26.6,26.0,1.0,,27.1,25.0,1.0,26.1,27.7,25.0,1.0,,26.8,25.0,1.0,25.5,27.3,25.0
