地市,数据中心,机房名称,机房类别,状态记录,回退原因,开始调控日期,控制范围,机柜最高温,环境最高温,机柜预警线,机柜报警线,回风预警线,环境报警线,空调数量,机柜id,环境id,空调id,压线标志,控制描述,,,,,,
宁波,甬_C_慈溪观城局,2F综合机房,C,已回退,空调坏了，机房整治，暂停部署，交给浙邮实施,2023/3/20,22-29,32,24.4,37,38,29,28,5,,,,,,,,,,,
嘉兴,禾_B_嘉兴中山路局,6F东资源池机房,C,,,2023/3/22,22-29,27.3,25.3,59,60,29,29,5,,,,,,,,,,,
嘉兴,禾_B_嘉兴中山路局,6F西资源池机房,C,已回退,,2023/3/22,22-29,24.3,25.4,33,34,29,27,7,,,,,,,,,,,
嘉兴,禾_C_嘉善亭桥路局,2FT01机房,C,,,2023/3/22,22-29,30.5,27.8,35,36,29,29,4,,,,,,,,,,,
嘉兴,禾_B_嘉兴第二枢纽楼局,8F云资源池机房,C,,,2023/3/24,22-29,23.6,24.3,30,31,29,27,2,,,,,,,,,,,
嘉兴,禾_C_海宁干河街局,4F政府云机房,C,,,2023/3/24,22-29,25.3,22.35,30,31,29,28,列间,,,,,,,,,,,
嘉兴,禾_C_海盐海滨路局,1F电池室（动力机房）,C,,,2023/3/24,22-29,25.3,22.9,30,31,29,28,1,,,,,,,,,,,
嘉兴,禾_C_海盐海滨路局,2F西ID02机房,C,,,2023/3/24,22-29,27.1,24.7,32,33,29,28,2,,,,,,,,,,,
嘉兴,禾_C_嘉兴清河政务云机房局,3FIDC4机房,C,,,2023/3/24,22-29,30.8,24.65,35,36,29,28,列间,,,,,,,,,,,
嘉兴,禾_C_桐乡桐乡局,4F综合机房,C,,,2023/3/24,22-29,29.3,25.3,34,35,29,28,3,,,,,,,,,,,
嘉兴,禾_D_平湖乍浦局,2F5G机房,D,,,2023/3/24,22-29,28.5,25.4,33,34,29,30,1,,,,,,,,,,,
金华,婺_D_兰溪马涧局,2F综合机房,D,,,2023/3/24,24-29,35.1,24.4,40,41,29,33,1,,,,,,,,,,,
金华,婺_J_兰溪横溪(B)C网基站,3F综合机房,D,,,2023/3/24,22-29,26.2,25.8,31,32,29,30,1,,,,,,,,,,,
金华,婺_C_兰溪城西局,2F数据机房,C,已回退,环境温度缺失,2023/3/28,22-29,3333.9,23.2,38,39,29,28,1,,,,,,,,,,,
金华,婺_C_义乌江东局,2F电力室,C,,,2023/3/28,22-29,24.7,25.5,29,30,29,28,1,,,,,,,,,,,
嘉兴,禾_C_海盐海滨路局,4FZ02机房,D,,,2023/3/29,22-29,31,25.5,36,37,29,28,5,,,,,,,,,,,
嘉兴,禾_C_嘉善亭桥路局,2F存储机房,C,已回退-交由浙邮部署,失败率过高,2023/3/29,25-29,37.8,29,42,43,29,30,4,,,,,,,,,,,
嘉兴,禾_D_海盐秦山局,2F综合机房,D,,,2023/3/29,22-29,31.6,24.4,36,37,29,30,3,,,,,,,,,,,
嘉兴,禾_D_平湖林埭局,2FZ01机房,D,,,2023/3/29,22-29,36.1,25.4,41,42,29,30,2,,,,,,,,,,,
衢州,衢_A_衢州枢纽楼局,4F传输机房,B,,,2023/3/29,22-29,31.7,28.8,36,37,29,28,4,,,,,,,,,,,
金华,婺_A_金华城南局,枢纽楼5FIDC核心机房,A,,,2023/3/30,22-28,25.5,19.1,28,29,28,26,1,,,,,,,,,,,
金华,婺_C_兰溪城西局,3F客户数据机房,C,,,2023/4/3,22-29,29.4,25.7,34,35,29,28,3,,,,,,,,,,,
金华,婺_C_义乌宾王局,3F传输室,C,未实施,,2023/4/3,22-29,32.7,24.5,37,38,29,28,2,,,,,,,,,,,
丽水,丽_A_莲都城东AI局,7FDCN机房,B,,,2023/4/4,22-28,31,22,35,36,29,26,3,,,,,,,,,,,
丽水,丽_A_莲都城东AI局,8FIDC机房,B,,,2023/4/4,25-28,34.3,25.1,39,40,29,26,2,,,,,,,,,,,
丽水,丽_C_莲都碧湖局,2F综合机房,D,,,2023/4/4,22-29,33.7,22.4,38,39,29,28,2,,,,,,,,,,,
金华,婺_C_义乌电商云计算中心局,2FUPS配电机房,C,,,2023/4/4,22-29,-,26,30,31,29,28,1,,,,,,,,,,,
台州,台_B_椒江枢纽大楼局,5FC网核心机房,B,,,2023/4/6,22-29,30.8,21,39,40,29,27,2,,,,,,,,,,,
台州,台_C_黄岩老局,3F传输机房,C,已回退,空调存在3-4度偏移量，局方要求暂停AI算法控制。请关停AI,2023/4/6,22-29,33,25,39,40,29,28,1,,,,,,,,,,,
